"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","573.12859","573.12860","573.12862"
"group_126","","hypothetical protein","3","3","1","2","540","","","","428","428","428","573.12859_01421","573.12860_01824","573.12862_00258"
"lsrA","","Autoinducer 2 import ATP-binding protein LsrA","3","3","1","2","522","","","","1487","1487","1487","573.12859_01439","573.12860_01806","573.12862_00276"
"group_128","","hypothetical protein","3","3","1","2","501","","","","296","296","296","573.12859_01460","573.12860_01785","573.12862_00297"
"rimP","","Ribosome maturation factor RimP","3","3","1","2","454","","","","422","452","442","573.12859_01500","573.12860_01733","573.12862_00349"
"mlaB","","Intermembrane phospholipid transport system binding protein MlaB","3","3","1","2","433","","","","287","290","289","573.12859_01523","573.12860_01710","573.12862_00372"
"acrR_2","","HTH-type transcriptional regulator AcrR","3","3","1","2","360","","","","650","671","657","573.12859_01584","573.12860_01626","573.12862_00456"
"codAch2","","Pterin deaminase","3","3","1","1","3006","","","","1283","1283","1283","573.12859_01612","573.12860_01316","573.12862_01874"
"yeaX_2","","Carnitine monooxygenase reductase subunit","3","3","1","1","3007","","","","968","968","968","573.12859_01613","573.12860_01315","573.12862_01875"
"group_134","dmlR_7","HTH-type transcriptional regulator DmlR","3","3","1","1","3026","","","","917","923","919","573.12859_01637","573.12860_01310","573.12862_01880"
"group_135","","hypothetical protein","3","3","1","1","2756","","","","515","515","515","573.12859_01656","573.12860_01290","573.12862_01900"
"group_136","","hypothetical protein","3","3","1","1","2676","","","","257","257","257","573.12859_01695","573.12860_01250","573.12862_01940"
"ydcZ","","Inner membrane protein YdcZ","3","3","1","1","2618","","","","449","449","449","573.12859_01752","573.12860_01193","573.12862_01997"
"benC","","Benzoate 1,2-dioxygenase electron transfer component","3","3","1","1","2571","","","","1016","1016","1016","573.12859_01799","573.12860_01148","573.12862_02042"
"group_139","","hypothetical protein","3","3","1","1","2551","","","","707","707","707","573.12859_01819","573.12860_01128","573.12862_02062"
"norR_1","","Anaerobic nitric oxide reductase transcription regulator NorR","3","3","1","4","332","","","","1322","2765","2284","573.12859_00708","573.12860_01050","573.12862_00646"
"group_140","","hypothetical protein","3","3","1","1","2535","","","","146","146","146","573.12859_01835","573.12860_05179","573.12862_03747"
"group_141","","hypothetical protein","3","3","1","1","2382","","","","893","893","893","573.12859_01889","573.12860_04889","573.12862_04753"
"pglA","","N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase","3","3","1","1","2381","","","","1130","1133","1131","573.12859_01890","573.12860_04888","573.12862_04752"
"group_143","","hypothetical protein","3","3","1","1","2135","","","","1013","1013","1013","573.12859_02082","573.12860_02022","573.12862_01815"
"rluA_2","","Dual-specificity RNA pseudouridine synthase RluA","3","3","1","1","2114","","","","698","767","721","573.12859_02103","573.12860_02042","573.12862_01836"
"group_145","","hypothetical protein","3","3","1","1","2110","","","","653","653","653","573.12859_02107","573.12860_02046","573.12862_01840"
"ompA_2","","Outer membrane protein A","3","3","1","1","2109","","","","1142","1697","1512","573.12859_02108","573.12860_02047","573.12862_01841"
"ivy","","Inhibitor of vertebrate lysozyme","3","3","1","5","272","","","","446","446","446","573.12859_02184","573.12860_02240","573.12862_01257"
"aptA_1","","Apulose-4-phosphate transketolase subunit A","3","3","1","5","284","","","","830","830","830","573.12859_02196","573.12860_02252","573.12862_01269"
"group_151","","hypothetical protein","3","3","1","5","126","","","","404","404","404","573.12859_02215","573.12860_02271","573.12862_01288"
"group_152","","hypothetical protein","3","3","1","5","125","","","","302","302","302","573.12859_02216","573.12860_02272","573.12862_01289"
"cdiA","","tRNA nuclease CdiA","3","3","1","5","66","","","","1793","1793","1793","573.12859_02275","573.12860_02331","573.12862_01348"
"corC","","Magnesium and cobalt efflux protein CorC","3","3","1","5","59","","","","878","947","924","573.12859_02282","573.12860_02338","573.12862_01355"
"group_155","","hypothetical protein","3","3","1","6","12","","","","449","449","449","573.12859_02356","573.12860_05352","573.12862_05028"
"elfC","","putative outer membrane usher protein ElfC","3","3","1","6","41","","","","2543","2543","2543","573.12859_02380","573.12860_05067","573.12862_04838"
"relE","","mRNA interferase toxin RelE","3","3","1","6","140","","","","284","284","284","573.12859_02483","573.12860_04571","573.12862_04290"
"nrdG","","Anaerobic ribonucleoside-triphosphate reductase-activating protein","3","3","1","6","141","","","","464","464","464","573.12859_02484","573.12860_04570","573.12862_04291"
"ugpC_2","","sn-glycerol-3-phosphate import ATP-binding protein UgpC","3","3","1","6","180","","","","1070","1073","1072","573.12859_02523","573.12860_05230","573.12862_04977"
"group_16","","hypothetical protein","3","3","1","4","89","","","","1217","1859","1431","573.12859_00881","573.12860_00867","573.12862_00463"
"dauA_3","","C4-dicarboxylic acid transporter DauA","3","3","1","6","185","","","","1469","1469","1469","573.12859_02528","573.12860_05235","573.12862_04982"
"can_2","","Carbonic anhydrase 2","3","3","1","6","186","","","","680","686","682","573.12859_02529","573.12860_05236","573.12862_04983"
"yraA","","hypothetical protein","3","3","1","1","360","","","","488","566","514","573.12859_02566","573.12860_04455","573.12862_04593"
"ytbE","","putative oxidoreductase YtbE","3","3","1","1","787","","","","869","869","869","573.12859_02582","573.12860_04449","573.12862_04587"
"group_164","","hypothetical protein","3","3","1","1","792","","","","386","386","386","573.12859_02587","573.12860_04444","573.12862_03247"
"dsdC_1","","HTH-type transcriptional regulator DsdC","3","3","1","1","800","","","","854","899","869","573.12859_02595","573.12860_04436","573.12862_03255"
"group_166","chbA_3","PTS system N,N'-diacetylchitobiose-specific EIIA component","3","3","1","1","1544","","","","284","347","326","573.12859_02674","573.12860_02952","573.12862_03331"
"group_167","","hypothetical protein","3","3","1","1","1528","","","","560","560","560","573.12859_02689","573.12860_02967","573.12862_03347"
"group_168","","hypothetical protein","3","3","1","1","1475","","","","239","239","239","573.12859_02734","573.12860_00010","573.12862_00718"
"group_169","","hypothetical protein","3","3","1","1","1443","","","","362","362","362","573.12859_02766","573.12860_00042","573.12862_00750"
"group_170","","hypothetical protein","3","3","1","1","2797","","","","209","329","249","573.12859_02782","573.12860_04528","573.12862_02715"
"group_171","","hypothetical protein","3","3","1","1","2894","","","","536","614","588","573.12859_02881","573.12860_03260","573.12862_02616"
"group_172","","hypothetical protein","3","3","1","1","2915","","","","743","743","743","573.12859_02902","573.12860_03239","573.12862_02595"
"mhpE","","4-hydroxy-2-oxovalerate aldolase","3","3","1","1","2925","","","","1016","1016","1016","573.12859_02912","573.12860_03229","573.12862_02585"
"glnH_2","","Glutamine-binding periplasmic protein","3","3","1","1","2943","","","","140","767","558","573.12859_02931","573.12860_01374","573.12862_04458"
"glnQ_6","","Glutamine transport ATP-binding protein GlnQ","3","3","1","1","2949","","","","266","722","570","573.12859_02939","573.12860_01372","573.12862_04456"
"group_176","","hypothetical protein","3","3","1","1","2973","","","","842","842","842","573.12859_02965","573.12860_01348","573.12862_04432"
"otnK_1","","3-oxo-tetronate kinase","3","3","1","1","144","","","","194","257","215","573.12859_02966","573.12860_05447","573.12862_05104"
"fabD_2","","Malonyl CoA-acyl carrier protein transacylase","3","3","1","1","194","","","","902","902","902","573.12859_03015","573.12860_04731","573.12862_02275"
"ydgA","","Protein YdgA","3","3","1","1","237","","","","1526","1562","1538","573.12859_03058","573.12860_02673","573.12862_02318"
"group_181","","hypothetical protein","3","3","1","1","243","","","","479","518","492","573.12859_03064","573.12860_02667","573.12862_02324"
"group_182","","hypothetical protein","3","3","1","1","308","","","","746","746","746","573.12859_03127","573.12860_02604","573.12862_02387"
"group_183","","2-haloacrylate reductase","3","3","1","1","317","","","","1034","1034","1034","573.12859_03136","573.12860_02595","573.12862_02396"
"group_184","","hypothetical protein","3","3","1","1","324","","","","206","206","206","573.12859_03143","573.12860_02588","573.12862_02403"
"bdcR","","HTH-type transcriptional repressor BdcR","3","3","1","1","327","","","","593","593","593","573.12859_03146","573.12860_02585","573.12862_02406"
"group_186","","hypothetical protein","3","3","1","1","329","","","","494","494","494","573.12859_03148","573.12860_02583","573.12862_02408"
"group_187","","hypothetical protein","3","3","1","1","335","","","","3425","3425","3425","573.12859_03153","573.12860_02577","573.12862_02414"
"group_188","","hypothetical protein","3","3","1","2","56","","","","341","395","359","573.12859_03410","573.12860_04302","573.12862_02784"
"licC_2","","Lichenan permease IIC component","3","3","1","2","46","","","","1271","1400","1357","573.12859_03420","573.12860_04312","573.12862_02774"
"rrrD_2","","Lysozyme RrrD","3","3","1","1","769","","","","530","530","530","573.12859_01000","573.12860_04478","573.12862_04615"
"group_190","","hypothetical protein","3","3","1","2","9","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","107","107","107","573.12859_03457","573.12860_04349","573.12862_02737"
"mntB_2","","Manganese transport system ATP-binding protein MntB","3","3","1","2","8","","","","677","710","699","573.12859_03458","573.12860_04350","573.12862_02736"
"menE","","2-succinylbenzoate--CoA ligase","3","3","1","1","1814","","","","1376","1376","1376","573.12859_03540","573.12860_00421","573.12862_01512"
"nudI","","Nucleoside triphosphatase NudI","3","3","1","1","1815","","","","422","425","423","573.12859_03541","573.12860_00422","573.12862_01513"
"group_194","","hypothetical protein","3","3","1","2","198","","","","242","320","294","573.12859_03642","573.12860_02109","573.12862_04038"
"group_195","","hypothetical protein","3","3","1","2","182","","","","434","446","442","573.12859_03658","573.12860_02125","573.12862_04054"
"rhaS_12","","HTH-type transcriptional activator RhaS","3","3","1","2","172","","","","884","911","902","573.12859_03668","573.12860_02135","573.12862_04064"
"vapC","","tRNA(fMet)-specific endonuclease VapC","3","3","1","10","85","","","","383","383","383","573.12859_03720","573.12860_03642","573.12862_03635"
"rhaS_11","","HTH-type transcriptional activator RhaS","3","3","1","10","18","","","","863","986","945","573.12859_03783","573.12860_03701","573.12862_03576"
"phnX","","Phosphonoacetaldehyde hydrolase","3","3","1","9","86","","","","809","809","809","573.12859_03804","573.12860_03614","573.12862_03475"
"mngR_2","","Mannosyl-D-glycerate transport/metabolism system repressor MngR","3","3","1","9","64","","","","722","746","730","573.12859_03828","573.12860_03590","573.12862_03499"
"atpI","","ATP synthase protein I","3","3","1","9","17","","","","314","380","358","573.12859_03875","573.12860_03543","573.12862_03546"
"group_2019","","hypothetical protein","3","3","1","1","46","","","","140","140","140","573.12859_04380","573.12860_03463","573.12862_03400"
"lamB_2","","Maltoporin","3","3","1","8","87","","","","1289","1289","1289","573.12859_03898","573.12860_03184","573.12862_03211"
"mpl","","UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase","3","3","1","6","123","","","","1373","1373","1373","573.12859_02466","573.12860_03949","573.12862_04008"
"rpsR","","30S ribosomal protein S18","3","3","1","6","93","","","","227","227","227","573.12859_02435","573.12860_03977","573.12862_03980"
"pepT","","Peptidase T","3","3","1","1","1438","","","","1232","1232","1232","573.12859_05118","573.12860_00047","573.12862_00755"
"tolB","","Tol-Pal system protein TolB","3","3","1","5","4","","","","1292","1292","1292","573.12859_02347","573.12860_02396","573.12862_01416"
"luxS","","S-ribosylhomocysteine lyase","3","3","1","1","1023","","","","515","515","515","573.12859_04277","573.12860_04115","573.12862_03920"
"rstA","","Transcriptional regulatory protein RstA","3","3","1","1","230","","","","719","719","719","573.12859_03051","573.12860_02680","573.12862_02311"
"rbtD","","Ribitol 2-dehydrogenase","3","3","1","1","1928","","","","749","749","749","573.12859_04175","573.12860_00533","573.12862_01624"
"glnQ_5","","Glutamine transport ATP-binding protein GlnQ","3","3","1","5","64","","","","725","725","725","573.12859_02277","573.12860_02333","573.12862_01350"
"group_2028","","hypothetical protein","3","3","1","11","58","","","","464","464","464","573.12859_04096","573.12860_04263","573.12862_04121"
"group_2029","","hypothetical protein","3","3","1","1","555","","","","365","365","365","573.12859_01158","573.12860_00767","573.12862_01018"
"manP","","PTS system mannose-specific EIIBCA component","3","3","1","1","2428","","","","311","335","327","573.12859_03994","573.12860_03526","573.12862_03464"
"pstB","","Phosphate import ATP-binding protein PstB","3","3","1","9","31","","","","773","773","773","573.12859_03861","573.12860_03557","573.12862_03532"
"infA","","Translation initiation factor IF-1","3","3","1","1","1234","","","","218","218","218","573.12859_00496","573.12860_00245","573.12862_04202"
"feoA","","Fe(2+) transport protein A","3","3","1","3","282","","","","227","227","227","573.12859_00054","573.12860_03375","573.12862_02130"
"yrdA_2","","Protein YrdA","3","3","1","14","14","","","","554","554","554","573.12859_04900","573.12860_05021","573.12862_04760"
"lysP","","Lysine-specific permease","3","3","1","1","1879","","","","1469","1469","1469","573.12859_04643","573.12860_00486","573.12862_01577"
"malQ","","4-alpha-glucanotransferase","3","3","1","3","274","","","","2093","2093","2093","573.12859_00062","573.12860_03383","573.12862_02138"
"yrbG","","Inner membrane protein YrbG","3","3","1","2","428","","","","977","977","977","573.12859_01528","573.12860_01705","573.12862_00377"
"nuoF","","NADH-quinone oxidoreductase subunit F","3","3","1","1","1798","","","","1337","1337","1337","573.12859_03524","573.12860_00405","573.12862_01496"
"metC_2","","Cystathionine beta-lyase MetC","3","3","1","2","602","","","","1187","1187","1187","573.12859_01358","573.12860_01580","573.12862_00195"
"group_2039","","hypothetical protein","3","3","1","1","1603","","","","1430","1430","1430","573.12859_02613","573.12860_02894","573.12862_03273"
"ulaB_2","","Ascorbate-specific PTS system EIIB component","3","3","1","1","2432","","","","266","266","266","573.12859_03998","573.12860_04105","573.12862_03658"
"group_2040","","hypothetical protein","3","3","1","9","77","","","","95","95","95","573.12859_03815","573.12860_03603","573.12862_03486"
"phoB","","Phosphate regulon transcriptional regulatory protein PhoB","3","3","1","1","533","","","","689","689","689","573.12859_01180","573.12860_00789","573.12862_00996"
"xseB","","Exodeoxyribonuclease 7 small subunit","3","3","1","1","568","","","","242","242","242","573.12859_01145","573.12860_00754","573.12862_01031"
"rplN","","50S ribosomal protein L14","3","3","1","14","43","","","","371","371","371","573.12859_04871","573.12860_05050","573.12862_04789"
"yajI","","putative lipoprotein YajI","3","3","1","1","558","","","","539","539","539","573.12859_01155","573.12860_00764","573.12862_01021"
"tsx","","Nucleoside-specific channel-forming protein Tsx","3","3","1","1","557","","","","884","884","884","573.12859_01156","573.12860_00765","573.12862_01020"
"potB","","Spermidine/putrescine transport system permease protein PotB","3","3","1","1","1436","","","","857","857","857","573.12859_05120","573.12860_00049","573.12862_00757"
"group_2047","","putative signaling protein","3","3","1","1","44","","","","1655","1655","1655","573.12859_04382","573.12860_03461","573.12862_03398"
"crp","","cAMP-activated global transcriptional regulator CRP","3","3","1","3","317","","","","632","632","632","573.12859_00019","573.12860_03340","573.12862_02095"
"engB","","putative GTP-binding protein EngB","3","3","1","10","72","","","","632","632","632","573.12859_03707","573.12860_03629","573.12862_03648"
"ulaC_3","","Ascorbate-specific PTS system EIIA component","3","3","1","1","2433","","","","437","437","437","573.12859_03999","573.12860_04104","573.12862_03659"
"rpoC","","DNA-directed RNA polymerase subunit beta'","3","3","1","15","8","","","","4223","4223","4223","573.12859_04744","573.12860_04922","573.12862_04696"
"pstA","","Phosphate transport system permease protein PstA","3","3","1","9","30","","","","890","890","890","573.12859_03862","573.12860_03556","573.12862_03533"
"ftsE","","Cell division ATP-binding protein FtsE","3","3","1","3","230","","","","668","668","668","573.12859_00105","573.12860_03806","573.12862_02181"
"ydcV_1","","Inner membrane ABC transporter permease protein YdcV","3","3","1","1","1435","","","","785","785","785","573.12859_05121","573.12860_00050","573.12862_00758"
"pdhR","","Pyruvate dehydrogenase complex repressor","3","3","1","4","100","","","","779","779","779","573.12859_00870","573.12860_00878","573.12862_00474"
"degP","","Periplasmic serine endoprotease DegP","3","3","1","4","39","","","","1433","1433","1433","573.12859_00929","573.12860_03763","573.12862_03797"
"group_2056","","hypothetical protein","3","3","1","1","1724","","","","353","353","353","573.12859_04500","573.12860_00332","573.12862_01424"
"mntB_8","","Manganese transport system membrane protein MntB","3","3","1","2","7","","","","863","863","863","573.12859_03459","573.12860_04351","573.12862_02735"
"group_2058","","hypothetical protein","3","3","1","6","47","","","","191","191","191","573.12859_02386","573.12860_04026","573.12862_03931"
"mreC","","Cell shape-determining protein MreC","3","3","1","2","385","","","","992","992","992","573.12859_01571","573.12860_01662","573.12862_00420"
"hpxW","","Oxamate amidohydrolase proenzyme","3","3","1","1","2454","","","","1586","1586","1586","573.12859_04019","573.12860_04084","573.12862_03679"
"dsrB","","Protein DsrB","3","3","1","1","2257","","","","191","191","191","573.12859_01957","573.12860_01897","573.12862_01690"
"accD","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","3","3","1","1","1766","","","","983","983","983","573.12859_03493","573.12860_00373","573.12862_01465"
"copD","","Copper resistance protein D","3","3","1","1","2005","","","","929","929","929","573.12859_04904","573.12860_04672","573.12862_04408"
"group_2063","","hypothetical protein","3","3","1","3","27","","","","626","626","626","573.12859_00309","573.12860_02728","573.12862_02893"
"tdh","","L-threonine 3-dehydrogenase","3","3","1","3","100","","","","1025","1025","1025","573.12859_00235","573.12860_02801","573.12862_02966"
"gor","","Glutathione reductase","3","3","1","3","193","","","","1352","1352","1352","573.12859_00143","573.12860_03843","573.12862_02218"
"codA_2","","Cytosine deaminase","3","3","1","3","309","","","","1322","1322","1322","573.12859_00027","573.12860_03348","573.12862_02103"
"speE","","Polyamine aminopropyltransferase","3","3","1","4","90","","","","860","860","860","573.12859_00880","573.12860_00868","573.12862_00464"
"rsxA","","Ion-translocating oxidoreductase complex subunit A","3","3","1","1","2669","","","","581","581","581","573.12859_01702","573.12860_01243","573.12862_01947"
"group_2069","","hypothetical protein","3","3","1","1","433","","","","1244","1244","1244","573.12859_01273","573.12860_04771","573.12862_04243"
"atzE","","1-carboxybiuret hydrolase subunit AtzE","3","3","1","1","2456","","","","1397","1397","1397","573.12859_04021","573.12860_04082","573.12862_03681"
"uhpT","","Hexose-6-phosphate:phosphate antiporter","3","3","1","9","91","","","","1391","1391","1391","573.12859_03809","573.12860_03609","573.12862_03480"
"eno","","Enolase","3","3","1","2","97","","","","1298","1298","1298","573.12859_03371","573.12860_02199","573.12862_02825"
"rcsB","","Transcriptional regulatory protein RcsB","3","3","1","1","1835","","","","650","650","650","573.12859_03560","573.12860_00442","573.12862_01533"
"group_2073","","hypothetical protein","3","3","1","1","300","","","","212","212","212","573.12859_03119","573.12860_02612","573.12862_02379"
"phnG","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG","3","3","1","8","10","","","","452","452","452","573.12859_03972","573.12860_03110","573.12862_03137"
"cyoA","","Cytochrome bo(3) ubiquinol oxidase subunit 2","3","3","1","1","588","","","","944","944","944","573.12859_01125","573.12860_00734","573.12862_01051"
"potF","","Putrescine-binding periplasmic protein","3","3","1","1","1202","","","","1112","1112","1112","573.12859_00464","573.12860_00277","573.12862_04170"
"hupB","","DNA-binding protein HU-beta","3","3","1","1","596","","","","272","272","272","573.12859_01117","573.12860_00726","573.12862_01059"
"dtd","","D-aminoacyl-tRNA deacylase","3","3","1","10","81","","","","437","437","437","573.12859_03716","573.12860_03638","573.12862_03639"
"tsaR_1","","HTH-type transcriptional regulator TsaR","3","3","1","1","2133","","","","941","941","941","573.12859_02084","573.12860_02024","573.12862_01818"
"asd_2","","Aspartate-semialdehyde dehydrogenase","3","3","1","1","2460","","","","1118","1118","1118","573.12859_04024","573.12860_04079","573.12862_03684"
"rhmA","","2-keto-3-deoxy-L-rhamnonate aldolase","3","3","1","1","1823","","","","803","803","803","573.12859_03548","573.12860_00430","573.12862_01521"
"prfB","","Peptide chain release factor RF2","3","3","1","2","290","","","","962","962","962","573.12859_04783","573.12860_01419","573.12862_00034"
"iraP","","Anti-adapter protein IraP","3","3","1","1","519","","","","260","260","260","573.12859_01194","573.12860_00803","573.12862_00982"
"dusC","","tRNA-dihydrouridine(16) synthase","3","3","1","1","1892","","","","932","932","932","573.12859_04630","573.12860_00499","573.12862_01590"
"rpmD","","50S ribosomal protein L30","3","3","1","14","35","","","","179","179","179","573.12859_04879","573.12860_05042","573.12862_04781"
"yfgD","","putative protein YfgD","3","3","1","7","89","","","","359","359","359","573.12859_03261","573.12860_02467","573.12862_02482"
"group_2086","","hypothetical protein","3","3","1","1","2958","","","","1088","1088","1088","573.12859_02948","573.12860_01363","573.12862_04447"
"group_2087","","hypothetical protein","3","3","1","3","326","","","","587","587","587","573.12859_00010","573.12860_03331","573.12862_02086"
"lptD","","LPS-assembly protein LptD","3","3","1","4","166","","","","2348","2348","2348","573.12859_00804","573.12860_00944","573.12862_00540"
"group_2089","metI_2","D-methionine transport system permease protein MetI","3","3","1","2","119","","","","698","698","698","573.12859_03349","573.12860_02177","573.12862_02847"
"group_209","","hypothetical protein","3","3","1","1","2461","","","","557","557","557","573.12859_04025","573.12860_04078","573.12862_03685"
"fre","","NAD(P)H-flavin reductase","3","3","1","11","7","","","","701","701","701","573.12859_04073","573.12860_04286","573.12862_04144"
"group_2091","","hypothetical protein","3","3","1","1","291","","","","185","185","185","573.12859_03111","573.12860_02620","573.12862_02371"
"rhaA","","L-rhamnose isomerase","3","3","1","10","49","","","","1259","1259","1259","573.12859_03752","573.12860_03670","573.12862_03607"
"rsuA","","Ribosomal small subunit pseudouridine synthase A","3","3","1","1","1856","","","","719","719","719","573.12859_03582","573.12860_00464","573.12862_01555"
"group_2094","","hypothetical protein","3","3","1","7","78","","","","203","203","203","573.12859_03272","573.12860_02456","573.12862_02471"
"ptsG","","PTS system glucose-specific EIICB component","3","3","1","1","1411","","","","1433","1433","1433","573.12859_04310","573.12860_00073","573.12862_00781"
"group_2096","","hypothetical protein","3","3","1","1","330","","","","542","542","542","573.12859_03149","573.12860_02582","573.12862_02409"
"group_2097","","hypothetical protein","3","3","1","1","192","","","","959","959","959","573.12859_03013","573.12860_04729","573.12862_02273"
"pspC","","Phage shock protein C","3","3","1","1","804","","","","359","359","359","573.12859_02599","573.12860_04432","573.12862_03259"
"malT_1","","HTH-type transcriptional regulator MalT","3","3","1","3","272","","","","2705","2705","2705","573.12859_00064","573.12860_03385","573.12862_02140"
"emrA_2","","Colistin resistance protein EmrA","3","3","1","1","2462","","","","1040","1043","1041","573.12859_04026","573.12860_04077","573.12862_03686"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","3","3","1","6","63","","","","461","461","461","573.12859_02405","573.12860_04007","573.12862_03950"
"ilvD","","Dihydroxy-acid dehydratase","3","3","1","11","16","","","","1850","1850","1850","573.12859_04141","573.12860_05245","573.12862_04991"
"group_2102","rbsC_2","Ribose import permease protein RbsC","3","3","1","5","278","","","","1067","1067","1067","573.12859_02190","573.12860_02246","573.12862_01263"
"ihfA","","Integration host factor subunit alpha","3","3","1","1","2865","","","","299","299","299","573.12859_02852","573.12860_03289","573.12862_02645"
"sbp","","Sulfate-binding protein","3","3","1","3","52","","","","989","989","989","573.12859_00283","573.12860_02754","573.12862_02919"
"group_2105","","hypothetical protein","3","3","1","3","227","","","","275","275","275","573.12859_00108","573.12860_03809","573.12862_02184"
"group_2106","","hypothetical protein","3","3","1","1","2886","","","","980","980","980","573.12859_02873","573.12860_03268","573.12862_02624"
"group_2107","","hypothetical protein","3","3","1","4","270","","","","317","317","317","573.12859_00646","573.12860_01111","573.12862_00707"
"ypeA","","Acetyltransferase YpeA","3","3","1","7","48","","","","425","425","425","573.12859_03301","573.12860_02426","573.12862_02442"
"group_2109","","hypothetical protein","3","3","1","1","546","","","","287","287","287","573.12859_01167","573.12860_00776","573.12862_01009"
"fabF_2","","3-oxoacyl-[acyl-carrier-protein] synthase 2","3","3","1","1","2467","","","","1274","1274","1274","573.12859_04028","573.12860_04075","573.12862_03688"
"ftsB","","Cell division protein FtsB","3","3","1","2","84","","","","317","317","317","573.12859_03384","573.12860_02212","573.12862_02812"
"mdtI","","Spermidine export protein MdtI","3","3","1","1","184","","","","329","329","329","573.12859_03005","573.12860_04721","573.12862_02265"
"ygdR_3","","putative lipoprotein YgdR","3","3","1","2","136","","","","230","230","230","573.12859_03332","573.12860_02160","573.12862_02864"
"pgi","","Glucose-6-phosphate isomerase","3","3","1","8","73","","","","1649","1649","1649","573.12859_04930","573.12860_03197","573.12862_03224"
"hycA","","Formate hydrogenlyase regulatory protein HycA","3","3","1","2","36","","","","449","449","449","573.12859_03430","573.12860_04322","573.12862_02764"
"group_2115","","hypothetical protein","3","3","1","3","15","","","","290","290","290","573.12859_00321","573.12860_02716","573.12862_02881"
"trxA","","Thioredoxin 1","3","3","1","11","28","","","","329","329","329","573.12859_04129","573.12860_04229","573.12862_04088"
"group_2117","","hypothetical protein","3","3","1","3","325","","","","200","200","200","573.12859_00011","573.12860_03332","573.12862_02087"
